2025-05-02 01:06:07,896 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.1365, Reg term: 0.000, Total Grad Norm: 163.592959
2025-05-02 01:09:40,765 - INFO - Epoch: 1, Iter: 0/1, NLL: 16.9752, Reg term: 0.000, Total Grad Norm: 160.428132
2025-05-02 01:10:35,657 - INFO - Epoch: 2, Iter: 0/1, NLL: 16.8181, Reg term: 0.000, Total Grad Norm: 154.413381
2025-05-02 01:11:18,957 - INFO - Epoch: 3, Iter: 0/1, NLL: 16.6653, Reg term: 0.000, Total Grad Norm: 150.131447
2025-05-02 01:12:11,280 - INFO - Epoch: 4, Iter: 0/1, NLL: 16.5158, Reg term: 0.000, Total Grad Norm: 166.601656
2025-05-02 01:13:16,072 - INFO - Epoch: 5, Iter: 0/1, NLL: 16.3694, Reg term: 0.000, Total Grad Norm: 168.057152
2025-05-02 01:14:01,872 - INFO - Epoch: 6, Iter: 0/1, NLL: 16.2262, Reg term: 0.000, Total Grad Norm: 163.455178
2025-05-02 01:14:57,903 - INFO - Epoch: 7, Iter: 0/1, NLL: 16.0879, Reg term: 0.000, Total Grad Norm: 161.741083
2025-05-02 01:16:01,648 - INFO - Epoch: 8, Iter: 0/1, NLL: 15.9540, Reg term: 0.000, Total Grad Norm: 146.919655
2025-05-02 01:17:07,665 - INFO - Epoch: 9, Iter: 0/1, NLL: 15.8237, Reg term: 0.000, Total Grad Norm: 153.113689
2025-05-02 01:17:56,138 - INFO - Epoch: 10, Iter: 0/1, NLL: 15.6970, Reg term: 0.000, Total Grad Norm: 144.366764
2025-05-02 01:18:35,209 - INFO - Epoch: 11, Iter: 0/1, NLL: 15.5741, Reg term: 0.000, Total Grad Norm: 142.861793
2025-05-02 01:19:30,013 - INFO - Epoch: 12, Iter: 0/1, NLL: 15.4550, Reg term: 0.000, Total Grad Norm: 138.423711
2025-05-02 01:20:25,544 - INFO - Epoch: 13, Iter: 0/1, NLL: 15.3408, Reg term: 0.000, Total Grad Norm: 144.021873
2025-05-02 01:21:10,323 - INFO - Epoch: 14, Iter: 0/1, NLL: 15.2308, Reg term: 0.000, Total Grad Norm: 144.114003
2025-05-02 01:21:43,699 - INFO - Epoch: 15, Iter: 0/1, NLL: 15.1238, Reg term: 0.000, Total Grad Norm: 137.302241
2025-05-02 01:22:13,712 - INFO - Epoch: 16, Iter: 0/1, NLL: 15.0203, Reg term: 0.000, Total Grad Norm: 142.171172
2025-05-02 01:22:55,067 - INFO - Epoch: 17, Iter: 0/1, NLL: 14.9208, Reg term: 0.000, Total Grad Norm: 133.815994
2025-05-02 01:23:38,345 - INFO - Epoch: 18, Iter: 0/1, NLL: 14.8244, Reg term: 0.000, Total Grad Norm: 130.912955
2025-05-02 01:24:17,514 - INFO - Epoch: 19, Iter: 0/1, NLL: 14.7315, Reg term: 0.000, Total Grad Norm: 136.718685
2025-05-02 01:24:58,111 - INFO - Epoch: 20, Iter: 0/1, NLL: 14.6412, Reg term: 0.000, Total Grad Norm: 130.249725
2025-05-02 01:28:27,438 - INFO - Epoch: 21, Iter: 0/1, NLL: 14.5552, Reg term: 0.000, Total Grad Norm: 114.391648
2025-05-02 01:28:59,332 - INFO - Epoch: 22, Iter: 0/1, NLL: 14.4733, Reg term: 0.000, Total Grad Norm: 120.464521
2025-05-02 01:29:31,861 - INFO - Epoch: 23, Iter: 0/1, NLL: 14.3939, Reg term: 0.000, Total Grad Norm: 120.487515
2025-05-02 01:30:00,670 - INFO - Epoch: 24, Iter: 0/1, NLL: 14.3182, Reg term: 0.000, Total Grad Norm: 117.144945
2025-05-02 01:30:31,076 - INFO - Epoch: 25, Iter: 0/1, NLL: 14.2455, Reg term: 0.000, Total Grad Norm: 112.315467
2025-05-02 01:31:03,100 - INFO - Epoch: 26, Iter: 0/1, NLL: 14.1751, Reg term: 0.000, Total Grad Norm: 128.955836
2025-05-02 01:31:33,978 - INFO - Epoch: 27, Iter: 0/1, NLL: 14.1074, Reg term: 0.000, Total Grad Norm: 118.702796
2025-05-02 01:32:02,033 - INFO - Epoch: 28, Iter: 0/1, NLL: 14.0419, Reg term: 0.000, Total Grad Norm: 113.467569
2025-05-02 01:32:35,269 - INFO - Epoch: 29, Iter: 0/1, NLL: 13.9789, Reg term: 0.000, Total Grad Norm: 102.718127
2025-05-02 01:33:10,930 - INFO - Epoch: 30, Iter: 0/1, NLL: 13.9184, Reg term: 0.000, Total Grad Norm: 117.704699
2025-05-02 01:33:46,605 - INFO - Epoch: 31, Iter: 0/1, NLL: 13.8593, Reg term: 0.000, Total Grad Norm: 111.175745
2025-05-02 01:34:28,550 - INFO - Epoch: 32, Iter: 0/1, NLL: 13.8023, Reg term: 0.000, Total Grad Norm: 116.078133
2025-05-02 01:35:16,462 - INFO - Epoch: 33, Iter: 0/1, NLL: 13.7468, Reg term: 0.000, Total Grad Norm: 102.980122
2025-05-02 01:35:59,768 - INFO - Epoch: 34, Iter: 0/1, NLL: 13.6939, Reg term: 0.000, Total Grad Norm: 101.069739
2025-05-02 01:36:43,603 - INFO - Epoch: 35, Iter: 0/1, NLL: 13.6427, Reg term: 0.000, Total Grad Norm: 107.507306
2025-05-02 01:37:24,218 - INFO - Epoch: 36, Iter: 0/1, NLL: 13.5929, Reg term: 0.000, Total Grad Norm: 94.237128
2025-05-02 01:38:06,520 - INFO - Epoch: 37, Iter: 0/1, NLL: 13.5451, Reg term: 0.000, Total Grad Norm: 114.373988
2025-05-02 01:38:55,173 - INFO - Epoch: 38, Iter: 0/1, NLL: 13.4985, Reg term: 0.000, Total Grad Norm: 93.243243
2025-05-02 01:39:42,265 - INFO - Epoch: 39, Iter: 0/1, NLL: 13.4532, Reg term: 0.000, Total Grad Norm: 92.319710
2025-05-02 01:40:22,640 - INFO - Epoch: 40, Iter: 0/1, NLL: 13.4088, Reg term: 0.000, Total Grad Norm: 94.497263
2025-05-02 01:43:44,691 - INFO - Epoch: 41, Iter: 0/1, NLL: 13.3659, Reg term: 0.000, Total Grad Norm: 103.501129
2025-05-02 01:44:18,389 - INFO - Epoch: 42, Iter: 0/1, NLL: 13.3240, Reg term: 0.000, Total Grad Norm: 102.118821
2025-05-02 01:44:54,485 - INFO - Epoch: 43, Iter: 0/1, NLL: 13.2827, Reg term: 0.000, Total Grad Norm: 105.010613
2025-05-02 01:45:28,575 - INFO - Epoch: 44, Iter: 0/1, NLL: 13.2425, Reg term: 0.000, Total Grad Norm: 95.274012
2025-05-02 01:46:20,840 - INFO - Epoch: 45, Iter: 0/1, NLL: 13.2029, Reg term: 0.000, Total Grad Norm: 79.996563
2025-05-02 01:46:55,990 - INFO - Epoch: 46, Iter: 0/1, NLL: 13.1636, Reg term: 0.000, Total Grad Norm: 89.090948
2025-05-02 01:47:32,817 - INFO - Epoch: 47, Iter: 0/1, NLL: 13.1247, Reg term: 0.000, Total Grad Norm: 91.183655
2025-05-02 01:48:07,394 - INFO - Epoch: 48, Iter: 0/1, NLL: 13.0870, Reg term: 0.000, Total Grad Norm: 78.639443
2025-05-02 01:48:45,058 - INFO - Epoch: 49, Iter: 0/1, NLL: 13.0499, Reg term: 0.000, Total Grad Norm: 89.723170
2025-05-02 01:49:23,298 - INFO - Epoch: 50, Iter: 0/1, NLL: 13.0140, Reg term: 0.000, Total Grad Norm: 88.178535
2025-05-02 01:50:02,546 - INFO - Epoch: 51, Iter: 0/1, NLL: 12.9788, Reg term: 0.000, Total Grad Norm: 81.354876
2025-05-02 01:50:49,641 - INFO - Epoch: 52, Iter: 0/1, NLL: 12.9442, Reg term: 0.000, Total Grad Norm: 93.280725
2025-05-02 01:51:27,449 - INFO - Epoch: 53, Iter: 0/1, NLL: 12.9103, Reg term: 0.000, Total Grad Norm: 79.504791
2025-05-02 01:52:07,091 - INFO - Epoch: 54, Iter: 0/1, NLL: 12.8767, Reg term: 0.000, Total Grad Norm: 72.184669
2025-05-02 01:52:38,384 - INFO - Epoch: 55, Iter: 0/1, NLL: 12.8440, Reg term: 0.000, Total Grad Norm: 79.807558
2025-05-02 01:53:19,096 - INFO - Epoch: 56, Iter: 0/1, NLL: 12.8117, Reg term: 0.000, Total Grad Norm: 79.650721
2025-05-02 01:53:57,451 - INFO - Epoch: 57, Iter: 0/1, NLL: 12.7803, Reg term: 0.000, Total Grad Norm: 69.128421
2025-05-02 01:54:32,675 - INFO - Epoch: 58, Iter: 0/1, NLL: 12.7493, Reg term: 0.000, Total Grad Norm: 78.990449
2025-05-02 01:55:08,944 - INFO - Epoch: 59, Iter: 0/1, NLL: 12.7187, Reg term: 0.000, Total Grad Norm: 71.170893
2025-05-02 01:55:51,626 - INFO - Epoch: 60, Iter: 0/1, NLL: 12.6888, Reg term: 0.000, Total Grad Norm: 74.880938
2025-05-02 01:59:05,983 - INFO - Epoch: 61, Iter: 0/1, NLL: 12.6597, Reg term: 0.000, Total Grad Norm: 73.833963
2025-05-02 01:59:40,099 - INFO - Epoch: 62, Iter: 0/1, NLL: 12.6312, Reg term: 0.000, Total Grad Norm: 56.409418
2025-05-02 02:00:09,264 - INFO - Epoch: 63, Iter: 0/1, NLL: 12.6032, Reg term: 0.000, Total Grad Norm: 67.094355
2025-05-02 02:00:41,380 - INFO - Epoch: 64, Iter: 0/1, NLL: 12.5758, Reg term: 0.000, Total Grad Norm: 65.567943
2025-05-02 02:01:12,895 - INFO - Epoch: 65, Iter: 0/1, NLL: 12.5492, Reg term: 0.000, Total Grad Norm: 76.726597
2025-05-02 02:01:43,813 - INFO - Epoch: 66, Iter: 0/1, NLL: 12.5233, Reg term: 0.000, Total Grad Norm: 69.208772
2025-05-02 02:02:16,355 - INFO - Epoch: 67, Iter: 0/1, NLL: 12.4982, Reg term: 0.000, Total Grad Norm: 66.430402
2025-05-02 02:02:49,381 - INFO - Epoch: 68, Iter: 0/1, NLL: 12.4733, Reg term: 0.000, Total Grad Norm: 35.700231
2025-05-02 02:03:31,408 - INFO - Epoch: 69, Iter: 0/1, NLL: 12.4488, Reg term: 0.000, Total Grad Norm: 57.334561
2025-05-02 02:04:13,941 - INFO - Epoch: 70, Iter: 0/1, NLL: 12.4245, Reg term: 0.000, Total Grad Norm: 56.550624
2025-05-02 02:04:45,693 - INFO - Epoch: 71, Iter: 0/1, NLL: 12.4001, Reg term: 0.000, Total Grad Norm: 65.116674
2025-05-02 02:05:23,041 - INFO - Epoch: 72, Iter: 0/1, NLL: 12.3771, Reg term: 0.000, Total Grad Norm: 49.759551
2025-05-02 02:05:53,758 - INFO - Epoch: 73, Iter: 0/1, NLL: 12.3541, Reg term: 0.000, Total Grad Norm: 59.661293
2025-05-02 02:06:30,299 - INFO - Epoch: 74, Iter: 0/1, NLL: 12.3322, Reg term: 0.000, Total Grad Norm: 52.631470
2025-05-02 02:07:07,128 - INFO - Epoch: 75, Iter: 0/1, NLL: 12.3109, Reg term: 0.000, Total Grad Norm: 52.905502
2025-05-02 02:07:41,083 - INFO - Epoch: 76, Iter: 0/1, NLL: 12.2897, Reg term: 0.000, Total Grad Norm: 67.871788
2025-05-02 02:08:13,774 - INFO - Epoch: 77, Iter: 0/1, NLL: 12.2691, Reg term: 0.000, Total Grad Norm: 55.761057
2025-05-02 02:09:04,766 - INFO - Epoch: 78, Iter: 0/1, NLL: 12.2490, Reg term: 0.000, Total Grad Norm: 53.045885
2025-05-02 02:09:38,737 - INFO - Epoch: 79, Iter: 0/1, NLL: 12.2290, Reg term: 0.000, Total Grad Norm: 57.654757
2025-05-02 02:10:18,208 - INFO - Epoch: 80, Iter: 0/1, NLL: 12.2095, Reg term: 0.000, Total Grad Norm: 44.409102
2025-05-02 02:14:13,178 - INFO - Epoch: 81, Iter: 0/1, NLL: 12.1906, Reg term: 0.000, Total Grad Norm: 46.510701
2025-05-02 02:14:48,482 - INFO - Epoch: 82, Iter: 0/1, NLL: 12.1716, Reg term: 0.000, Total Grad Norm: 46.633532
2025-05-02 02:15:27,972 - INFO - Epoch: 83, Iter: 0/1, NLL: 12.1533, Reg term: 0.000, Total Grad Norm: 53.707009
