2025-05-02 01:09:38,139 - INFO - Epoch: 0, Iter: 0/1, NLL: 16.7769, Reg term: 0.000, Total Grad Norm: 125.837825
2025-05-02 01:14:10,448 - INFO - Epoch: 1, Iter: 0/1, NLL: 16.6944, Reg term: 0.000, Total Grad Norm: 132.317457
2025-05-02 01:15:09,852 - INFO - Epoch: 2, Iter: 0/1, NLL: 16.6149, Reg term: 0.000, Total Grad Norm: 122.147385
2025-05-02 01:16:02,108 - INFO - Epoch: 3, Iter: 0/1, NLL: 16.5381, Reg term: 0.000, Total Grad Norm: 125.362847
2025-05-02 01:16:52,110 - INFO - Epoch: 4, Iter: 0/1, NLL: 16.4628, Reg term: 0.000, Total Grad Norm: 122.057984
2025-05-02 01:17:35,658 - INFO - Epoch: 5, Iter: 0/1, NLL: 16.3884, Reg term: 0.000, Total Grad Norm: 126.689003
2025-05-02 01:18:30,716 - INFO - Epoch: 6, Iter: 0/1, NLL: 16.3141, Reg term: 0.000, Total Grad Norm: 116.655573
2025-05-02 01:19:39,816 - INFO - Epoch: 7, Iter: 0/1, NLL: 16.2395, Reg term: 0.000, Total Grad Norm: 139.163696
2025-05-02 01:20:30,010 - INFO - Epoch: 8, Iter: 0/1, NLL: 16.1637, Reg term: 0.000, Total Grad Norm: 114.817814
2025-05-02 01:21:14,695 - INFO - Epoch: 9, Iter: 0/1, NLL: 16.0874, Reg term: 0.000, Total Grad Norm: 116.885376
2025-05-02 01:22:13,363 - INFO - Epoch: 10, Iter: 0/1, NLL: 16.0098, Reg term: 0.000, Total Grad Norm: 93.761109
2025-05-02 01:22:49,658 - INFO - Epoch: 11, Iter: 0/1, NLL: 15.9311, Reg term: 0.000, Total Grad Norm: 129.288816
2025-05-02 01:23:28,679 - INFO - Epoch: 12, Iter: 0/1, NLL: 15.8519, Reg term: 0.000, Total Grad Norm: 109.580971
2025-05-02 01:24:04,815 - INFO - Epoch: 13, Iter: 0/1, NLL: 15.7737, Reg term: 0.000, Total Grad Norm: 106.464282
2025-05-02 01:24:59,650 - INFO - Epoch: 14, Iter: 0/1, NLL: 15.6961, Reg term: 0.000, Total Grad Norm: 105.445531
2025-05-02 01:25:41,065 - INFO - Epoch: 15, Iter: 0/1, NLL: 15.6195, Reg term: 0.000, Total Grad Norm: 100.739124
2025-05-02 01:26:30,657 - INFO - Epoch: 16, Iter: 0/1, NLL: 15.5438, Reg term: 0.000, Total Grad Norm: 117.153774
2025-05-02 01:27:23,219 - INFO - Epoch: 17, Iter: 0/1, NLL: 15.4695, Reg term: 0.000, Total Grad Norm: 97.603347
2025-05-02 01:28:04,947 - INFO - Epoch: 18, Iter: 0/1, NLL: 15.3982, Reg term: 0.000, Total Grad Norm: 93.880610
2025-05-02 01:28:51,052 - INFO - Epoch: 19, Iter: 0/1, NLL: 15.3296, Reg term: 0.000, Total Grad Norm: 106.993960
2025-05-02 01:29:39,720 - INFO - Epoch: 20, Iter: 0/1, NLL: 15.2633, Reg term: 0.000, Total Grad Norm: 108.305426
