2025-05-01 22:58:48,614 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.9730, Reg term: 0.000, Total Grad Norm: 338.468065
2025-05-01 23:01:56,607 - INFO - Epoch: 0, Iter: 0/1, NLL: 18.6392, Reg term: 0.000, Total Grad Norm: 318.388479
2025-05-01 23:02:44,964 - INFO - Epoch: 1, Iter: 0/1, NLL: 18.5422, Reg term: 0.000, Total Grad Norm: 309.266336
2025-05-01 23:02:51,235 - INFO - Epoch: 2, Iter: 0/1, NLL: 18.4456, Reg term: 0.000, Total Grad Norm: 308.842227
2025-05-01 23:02:57,282 - INFO - Epoch: 3, Iter: 0/1, NLL: 18.3547, Reg term: 0.000, Total Grad Norm: 323.982607
2025-05-01 23:03:03,519 - INFO - Epoch: 4, Iter: 0/1, NLL: 18.2638, Reg term: 0.000, Total Grad Norm: 328.872673
2025-05-01 23:03:08,442 - INFO - Epoch: 5, Iter: 0/1, NLL: 18.1739, Reg term: 0.000, Total Grad Norm: 302.166508
2025-05-01 23:03:14,607 - INFO - Epoch: 6, Iter: 0/1, NLL: 18.0837, Reg term: 0.000, Total Grad Norm: 266.928000
2025-05-01 23:03:19,912 - INFO - Epoch: 7, Iter: 0/1, NLL: 17.9938, Reg term: 0.000, Total Grad Norm: 295.025045
2025-05-01 23:03:30,110 - INFO - Epoch: 8, Iter: 0/1, NLL: 17.9039, Reg term: 0.000, Total Grad Norm: 255.019759
2025-05-01 23:03:36,043 - INFO - Epoch: 9, Iter: 0/1, NLL: 17.8146, Reg term: 0.000, Total Grad Norm: 267.284555
2025-05-01 23:03:42,973 - INFO - Epoch: 10, Iter: 0/1, NLL: 17.7267, Reg term: 0.000, Total Grad Norm: 260.488014
2025-05-01 23:03:51,283 - INFO - Epoch: 11, Iter: 0/1, NLL: 17.6398, Reg term: 0.000, Total Grad Norm: 262.746000
2025-05-01 23:03:58,045 - INFO - Epoch: 12, Iter: 0/1, NLL: 17.5534, Reg term: 0.000, Total Grad Norm: 262.424630
2025-05-01 23:04:03,554 - INFO - Epoch: 13, Iter: 0/1, NLL: 17.4672, Reg term: 0.000, Total Grad Norm: 291.798367
2025-05-01 23:04:08,927 - INFO - Epoch: 14, Iter: 0/1, NLL: 17.3824, Reg term: 0.000, Total Grad Norm: 274.225056
2025-05-01 23:04:14,174 - INFO - Epoch: 15, Iter: 0/1, NLL: 17.2987, Reg term: 0.000, Total Grad Norm: 264.153335
2025-05-01 23:04:19,577 - INFO - Epoch: 16, Iter: 0/1, NLL: 17.2168, Reg term: 0.000, Total Grad Norm: 271.514027
2025-05-01 23:04:27,423 - INFO - Epoch: 17, Iter: 0/1, NLL: 17.1360, Reg term: 0.000, Total Grad Norm: 252.687405
2025-05-01 23:04:32,169 - INFO - Epoch: 18, Iter: 0/1, NLL: 17.0560, Reg term: 0.000, Total Grad Norm: 264.831044
2025-05-01 23:04:36,209 - INFO - Epoch: 19, Iter: 0/1, NLL: 16.9756, Reg term: 0.000, Total Grad Norm: 253.227232
2025-05-01 23:04:41,346 - INFO - Epoch: 20, Iter: 0/1, NLL: 16.8965, Reg term: 0.000, Total Grad Norm: 241.709288
2025-05-01 23:05:08,858 - INFO - Epoch: 21, Iter: 0/1, NLL: 16.8175, Reg term: 0.000, Total Grad Norm: 254.219466
2025-05-01 23:05:12,299 - INFO - Epoch: 22, Iter: 0/1, NLL: 16.7396, Reg term: 0.000, Total Grad Norm: 229.679707
2025-05-01 23:05:16,225 - INFO - Epoch: 23, Iter: 0/1, NLL: 16.6620, Reg term: 0.000, Total Grad Norm: 225.942366
2025-05-01 23:05:19,967 - INFO - Epoch: 24, Iter: 0/1, NLL: 16.5818, Reg term: 0.000, Total Grad Norm: 246.015812
2025-05-01 23:05:24,959 - INFO - Epoch: 25, Iter: 0/1, NLL: 16.5024, Reg term: 0.000, Total Grad Norm: 249.459916
2025-05-01 23:05:29,415 - INFO - Epoch: 26, Iter: 0/1, NLL: 16.4210, Reg term: 0.000, Total Grad Norm: 242.668926
2025-05-01 23:05:33,085 - INFO - Epoch: 27, Iter: 0/1, NLL: 16.3380, Reg term: 0.000, Total Grad Norm: 231.573694
2025-05-01 23:05:36,793 - INFO - Epoch: 28, Iter: 0/1, NLL: 16.2552, Reg term: 0.000, Total Grad Norm: 242.975250
2025-05-01 23:05:41,036 - INFO - Epoch: 29, Iter: 0/1, NLL: 16.1704, Reg term: 0.000, Total Grad Norm: 234.738585
2025-05-01 23:05:46,039 - INFO - Epoch: 30, Iter: 0/1, NLL: 16.0834, Reg term: 0.000, Total Grad Norm: 219.554546
2025-05-01 23:05:49,201 - INFO - Epoch: 31, Iter: 0/1, NLL: 15.9948, Reg term: 0.000, Total Grad Norm: 232.295743
2025-05-01 23:05:53,640 - INFO - Epoch: 32, Iter: 0/1, NLL: 15.9040, Reg term: 0.000, Total Grad Norm: 237.778712
2025-05-01 23:05:58,450 - INFO - Epoch: 33, Iter: 0/1, NLL: 15.8122, Reg term: 0.000, Total Grad Norm: 211.985556
2025-05-01 23:06:02,050 - INFO - Epoch: 34, Iter: 0/1, NLL: 15.7177, Reg term: 0.000, Total Grad Norm: 212.906387
2025-05-01 23:06:05,597 - INFO - Epoch: 35, Iter: 0/1, NLL: 15.6223, Reg term: 0.000, Total Grad Norm: 217.413345
2025-05-01 23:06:08,085 - INFO - Epoch: 36, Iter: 0/1, NLL: 15.5276, Reg term: 0.000, Total Grad Norm: 196.745822
2025-05-01 23:06:10,486 - INFO - Epoch: 37, Iter: 0/1, NLL: 15.4312, Reg term: 0.000, Total Grad Norm: 199.786892
2025-05-01 23:06:13,456 - INFO - Epoch: 38, Iter: 0/1, NLL: 15.3331, Reg term: 0.000, Total Grad Norm: 197.735266
2025-05-01 23:06:16,418 - INFO - Epoch: 39, Iter: 0/1, NLL: 15.2333, Reg term: 0.000, Total Grad Norm: 196.387081
2025-05-01 23:06:19,853 - INFO - Epoch: 40, Iter: 0/1, NLL: 15.1321, Reg term: 0.000, Total Grad Norm: 237.619974
2025-05-01 23:06:38,575 - INFO - Epoch: 41, Iter: 0/1, NLL: 15.0294, Reg term: 0.000, Total Grad Norm: 188.325534
2025-05-01 23:06:41,383 - INFO - Epoch: 42, Iter: 0/1, NLL: 14.9243, Reg term: 0.000, Total Grad Norm: 191.966037
2025-05-01 23:06:43,941 - INFO - Epoch: 43, Iter: 0/1, NLL: 14.8203, Reg term: 0.000, Total Grad Norm: 205.497989
2025-05-01 23:06:47,487 - INFO - Epoch: 44, Iter: 0/1, NLL: 14.7157, Reg term: 0.000, Total Grad Norm: 186.728386
2025-05-01 23:06:49,859 - INFO - Epoch: 45, Iter: 0/1, NLL: 14.6109, Reg term: 0.000, Total Grad Norm: 201.502532
2025-05-01 23:06:52,429 - INFO - Epoch: 46, Iter: 0/1, NLL: 14.5072, Reg term: 0.000, Total Grad Norm: 209.548514
2025-05-01 23:06:54,594 - INFO - Epoch: 47, Iter: 0/1, NLL: 14.4035, Reg term: 0.000, Total Grad Norm: 201.444387
2025-05-01 23:06:56,710 - INFO - Epoch: 48, Iter: 0/1, NLL: 14.3008, Reg term: 0.000, Total Grad Norm: 183.256225
2025-05-01 23:07:00,407 - INFO - Epoch: 49, Iter: 0/1, NLL: 14.1996, Reg term: 0.000, Total Grad Norm: 164.479764
2025-05-01 23:07:06,301 - INFO - Epoch: 50, Iter: 0/1, NLL: 14.1007, Reg term: 0.000, Total Grad Norm: 155.348310
2025-05-01 23:07:08,281 - INFO - Epoch: 51, Iter: 0/1, NLL: 14.0060, Reg term: 0.000, Total Grad Norm: 198.126195
2025-05-01 23:07:10,470 - INFO - Epoch: 52, Iter: 0/1, NLL: 13.9121, Reg term: 0.000, Total Grad Norm: 158.704398
2025-05-01 23:07:12,891 - INFO - Epoch: 53, Iter: 0/1, NLL: 13.8199, Reg term: 0.000, Total Grad Norm: 153.376708
2025-05-01 23:07:15,131 - INFO - Epoch: 54, Iter: 0/1, NLL: 13.7302, Reg term: 0.000, Total Grad Norm: 148.143240
2025-05-01 23:07:17,695 - INFO - Epoch: 55, Iter: 0/1, NLL: 13.6434, Reg term: 0.000, Total Grad Norm: 134.792969
2025-05-01 23:07:19,719 - INFO - Epoch: 56, Iter: 0/1, NLL: 13.5597, Reg term: 0.000, Total Grad Norm: 127.791491
2025-05-01 23:07:21,710 - INFO - Epoch: 57, Iter: 0/1, NLL: 13.4795, Reg term: 0.000, Total Grad Norm: 167.996504
2025-05-01 23:07:24,796 - INFO - Epoch: 58, Iter: 0/1, NLL: 13.4002, Reg term: 0.000, Total Grad Norm: 157.849975
2025-05-01 23:07:26,834 - INFO - Epoch: 59, Iter: 0/1, NLL: 13.3235, Reg term: 0.000, Total Grad Norm: 168.796527
2025-05-01 23:07:29,544 - INFO - Epoch: 60, Iter: 0/1, NLL: 13.2502, Reg term: 0.000, Total Grad Norm: 152.497352
2025-05-01 23:07:44,789 - INFO - Epoch: 61, Iter: 0/1, NLL: 13.1792, Reg term: 0.000, Total Grad Norm: 139.173499
